순번	종류	음식명	가격	조리가능수량	오늘의메뉴
1	1	공기밥	1000	0	1
2	1	돌솥비빔밥	4500	50	1
3	1	부대찌개	4500	0	1
4	1	매콤육개장	4000	50	1
5	1	즉석떡볶이	3000	50	1
6	1	돼지고기두루치기	5000	50	1
7	1	산채비빔밥	5500	50	1
8	1	순두부찌개	6000	50	1
9	1	열무김치	1000	50	1
10	1	갈비탕	6000	50	1
11	1	갈치구이	3500	50	1
12	1	된장찌개	4500	50	1
13	1	설렁탕	5000	50	1
14	1	산적	4000	50	1
15	1	불고기	5500	50	1
16	1	고등어구이	4000	50	1
17	1	잡채	4500	50	1
18	1	버섯전골	6000	50	1
19	1	제육볶음	4500	50	1
20	1	김치찌개	5000	50	1
21	1	라면	3000	50	1
22	1	계란찜	3500	50	1
23	1	고기만두	4000	50	1
24	1	김밥	3000	50	1
25	1	김치	1000	50	1
26	1	김치볶음밥	3500	50	0
27	1	김치전	3000	50	0
28	1	나물	2500	50	0
29	1	돈가스 덮밥	5500	50	0
30	1	미역국	2500	50	0
31	2	해물짬뽕	5000	50	1
32	2	쟁반짬뽕	5000	50	1
33	2	자장면	5000	50	1
34	2	잡채밥	5500	50	1
35	2	짬뽕밥	5500	50	1
36	2	새우튀김	4500	50	1
37	2	라조육	7000	50	1
38	2	팔보채	5500	50	1
39	2	해물볶음밥	7000	50	1
40	2	마파두부	5000	50	1
41	2	북경오리	7000	50	1
42	2	고추잡채	4500	50	1
43	2	양장피	6500	50	1
44	2	깐쇼새우	7000	50	0
45	2	사천탕수육	5500	50	0
46	3	라멘	5000	50	1
47	3	새우튀김정식	6000	50	1
48	3	장어구이정식	6000	50	1
49	3	도미조림정식	6000	50	1
50	3	도미구이정식	5500	50	1
51	3	삼치구이정식	5500	50	1
52	3	회덮밥	5000	50	1
53	3	장어덮밥	5000	50	1
54	3	모듬초밥	5500	50	1
55	3	도미회	7000	50	1
56	3	광어회	7000	50	0
57	3	참치회	7000	50	0
58	3	전복회	7000	50	0
59	3	전복죽	5000	50	0
60	4	돈까스	5500	50	1
61	4	치즈돈까스	6000	50	1
62	4	치킨까스	6000	50	1
63	4	불고기피자	7000	50	1
64	4	페페로니피자	7000	50	1
65	4	치즈볼피자	7000	50	1
66	4	프라이드치킨	7500	50	1
67	4	양념치킨	8000	50	1
68	4	간장치킨	8000	50	1
69	4	안심스테이크	9000	50	1
70	4	등심스테이크	9000	50	1
71	4	까르보나라	10000	50	1
72	4	치즈스파게티	9000	50	1
73	4	캐비어	12000	50	0
74	4	로스트비프	9000	50	0
75	4	머스터드 핫도그	5000	50	0
76	4	바게트	3000	50	0
77	4	버터 감자	4500	50	0
78	4	버팔로 윙스	5000	50	0
79	4	베이컨	5000	50	0
80	4	오므라이스	4500	50	0
