순번	종류번호	음식번호	사번	총주문금액	주문일자
1	1	2	10001	1	4500	2016-10-03 07:55:31
2	1	25	10001	1	1000	2016-10-03 07:55:31
3	1	12	10003	2	9000	2016-10-03 07:56:04
4	1	4	10003	2	8000	2016-10-03 07:56:04
5	1	16	10004	1	4000	2016-10-03 07:56:26
6	1	15	10004	1	5500	2016-10-03 07:56:26
7	1	2	10004	1	4500	2016-10-03 07:56:26
8	1	1	10011	1	1000	2016-10-03 07:57:26
9	1	23	10011	1	4000	2016-10-03 07:57:26
10	1	22	10011	1	3500	2016-10-03 07:57:26
11	1	10	10012	1	6000	2016-10-03 07:58:52
12	1	25	10012	1	1000	2016-10-03 07:58:52
13	4	60	10005	1	5500	2016-10-03 07:59:19
14	4	63	10005	1	7000	2016-10-03 07:59:19
15	4	69	10005	1	9000	2016-10-03 07:59:19
16	4	72	10005	1	9000	2016-10-03 07:59:19
17	3	48	10013	1	6000	2016-10-03 07:59:42
18	3	46	10013	1	5000	2016-10-03 07:59:42
19	2	32	10018	2	10000	2016-10-03 08:00:08
20	1	1	10002	1	1000	2016-10-03 12:26:56
21	1	15	10002	1	5500	2016-10-03 12:26:56
22	1	25	10002	1	1000	2016-10-03 12:26:56
23	2	32	10008	2	10000	2016-10-03 12:27:54
24	2	39	10008	1	7000	2016-10-03 12:27:54
25	4	63	10005	5	35000	2016-10-03 12:28:19
26	4	68	10005	1	8000	2016-10-03 12:28:19
27	3	50	10014	2	11000	2016-10-03 12:28:41
28	3	46	10014	1	5000	2016-10-03 12:28:41
29	2	38	10001	2	11000	2016-10-03 12:28:48
30	1	1	10012	1	1000	2016-10-03 12:49:14
31	1	22	10012	1	3500	2016-10-03 12:49:14
32	1	16	10012	1	4000	2016-10-03 12:49:14
33	1	3	10002	1	4500	2016-10-03 17:50:22
34	1	5	10002	1	3000	2016-10-03 17:50:22
35	1	13	10002	1	5000	2016-10-03 17:50:22
36	2	36	10009	2	9000	2016-10-03 17:50:37
37	2	37	10009	1	7000	2016-10-03 17:50:37
38	2	38	10009	2	11000	2016-10-03 17:50:37
39	4	66	10019	2	15000	2016-10-03 17:50:50
40	1	3	10016	1	4500	2016-10-03 17:51:09
41	1	6	10016	1	5000	2016-10-03 17:51:09
42	4	62	10010	1	6000	2016-10-03 17:51:26
43	2	33	10015	1	5000	2016-10-03 17:51:45
44	1	8	10006	1	6000	2016-10-03 17:52:26
45	1	24	10006	1	3000	2016-10-03 17:52:26
46	3	46	10007	1	5000	2016-10-03 17:52:48
47	3	47	10007	1	6000	2016-10-03 17:52:48
48	3	52	10007	1	5000	2016-10-03 17:52:48
49	3	54	10007	1	5500	2016-10-03 17:52:48
50	3	48	10007	1	6000	2016-10-03 17:52:48
